tiempo,u,x1_med,x2_med,x3_med,x4_med,x2_true,x4_true,x1_true,x3_true
0,-4,-0.00785627211018122,-1.16943615951693,3.1521404799854,1.18134329534221,0,0,0,3.14159265358979
0.02,-4,-0.0312449953005199,-2.54916643023656,3.17576734589225,3.04644902189141,-3.10894758120587,2.96321412110274,-0.0342964338082233,3.17440074526536
0.04,-4,-0.109822929319644,-4.86961141376417,3.27399844086106,3.29562879837988,-4.67782923293437,4.38843011111639,-0.114160138488651,3.2499285507616
0.06,-4,-0.226029451851087,-5.2441882231744,3.30759249782744,4.22119333813312,-5.30198741008387,4.85979605561502,-0.21512507590162,3.34359589480737
0.08,-4,-0.31959045824662,-5.85756496314272,3.44284617438639,5.75269604410686,-5.43478055160279,4.8236691202239,-0.323003689170362,3.44097941786585
0.1,-4,-0.460332050376796,-5.47275658443861,3.53770033959172,4.65369588153074,-5.37181028030618,4.56347427531108,-0.431239131217927,3.53507970303864
0.12,-4,-0.538500721624164,-4.34494606000701,3.62899400964762,3.5837806418849,-5.26143893973201,4.21586179375637,-0.537594896808415,3.6229654555914
0.14,-4,-0.634129892777076,-5.87501904649824,3.68105156526711,3.27706754796103,-5.16424995918836,3.83478833950201,-0.641801246457164,3.7035045480029
0.16,-4,-0.773501483484094,-5.19251007112935,3.76007671156606,4.60523681059949,-5.10001374687356,3.4385406953701,-0.74438557996779,3.77625802674802
0.18,-4,-0.84183029562225,-3.98512812493285,3.86526103769109,2.93449231499491,-5.07336193248764,3.03358075059792,-0.846061420542738,3.84099271769935
0.2,-4,-0.932906608481408,-4.74319027265356,3.87745640416585,1.69593660765526,-5.08184665929197,2.62176759734441,-0.947575565369716,3.89756449555456
0.22,-4,-1.03155790652839,-4.96669966255896,3.9330985019973,3.21778037379693,-5.12094287047536,2.20447762201335,-1.04957024673307,3.94583769143072
0.24,-4,-1.13157459498377,-6.04938638181498,4.00616761911773,2.66263968292997,-5.18562541884861,1.78347471015717,-1.15259057278254,3.98571651430211
0.26,-4,-1.27353336180099,-6.28508184717512,4.0396040893145,0.801329663730854,-5.27059493874726,1.36111519649669,-1.2571033521741,4.0171567860905
0.28,-4,-1.38297786887077,-4.02620511304503,4.03822080566696,1.33280101739648,-5.37037643991347,0.940290410268806,-1.36349182524913,4.04016819670431
0.3,-4,-1.43458156632279,-4.75922165009252,4.09291613001036,0.773022143665547,-5.48043768600835,0.524504773188267,-1.47199741341552,4.05481673742206
0.32,-4,-1.57334673487447,-6.50776295904823,4.06914169141359,-1.03016583011228,-5.5972051327653,0.11823776579278,-1.58276675303892,4.0612311288034
0.34,-4,-1.69489208468472,-6.88635581958297,4.05170949680587,-0.642402209009973,-5.71777862457726,-0.273861323659088,-1.6959043830636,4.05964204515969
0.36,-4,-1.84880096765779,-6.24646490150351,4.04344560305319,-0.620568087456785,-5.83995123402166,-0.647051887291477,-1.8114731546718,4.05038529998889
0.38,-4,-1.94475068074486,-5.95872327011094,4.0268867733076,-1.04771038099603,-5.96222689928153,-0.996508754411904,-1.92949289325926,4.03390000930411
0.4,-4,-2.08714989846223,-5.87431190444873,4.00153718781335,-1.95548960809787,-6.08441999749301,-1.31722548713198,-2.04993718079825,4.01069819747577
0.42,-4,-2.17972315692281,-5.40588590816697,3.94866718898368,-1.09880422104538,-6.20713539577356,-1.6039002722328,-2.17283116932228,3.98142331568232
0.44,-4,-2.30338533478891,-5.97628272358628,3.95758501897153,-0.424446295090752,-6.33101616627821,-1.85207244883163,-2.29821205818061,3.94680483876793
